QUIT_GAME;退出游戏;quit game;ゲーム終了;게임 종료;salir del juego;quitter le jeu;Spiel verlassen;выйти из игры;खेल छोड़ें;thoát trò chơi;ออกจากเกม
CHANGE_SKIN;更换皮肤;change skin;スキン変更;스킨 변경;cambiar skin;changer de skin;Skin ändern;сменить скин;स्किन बदलें;đổi skin;เปลี่ยนสกิน
CLEAR_SKIN;清除皮肤;clear skin;スキン消去;스킨 지우기;borrar skin;effacer le skin;Skin löschen;очистить скин;स्किन हटाएं;xóa skin;ลบสกิน
OFFICIAL_OLD;官方旧版;official old;公式旧版;공식 구버전;versión antigua oficial;ancienne version officielle;offizielle alte Version;официальная старая версия;आधिकारिक पुराना संस्करण;phiên bản cũ chính thức;เวอร์ชันเก่าทางการ
OFFICIAL_NEW;官方新版;official new;公式新版;공식 신버전;versión nueva oficial;nouvelle version officielle;offizielle neue Version;официальная новая версия;आधिकारिक नया संस्करण;phiên bản mới chính thức;เวอร์ชันใหม่ทางการ
CONFIRM;确定;confirm;確認;확인;confirmar;confirmer;bestätigen;подтвердить;पुष्टि करें;xác nhận;ยืนยัน  
UNKNOWN;未知;unknown;不明;알 수 없음;desconocido;inconnu;unbekannt;неизвестно;अज्ञात;không xác định;ไม่ทราบ  
BLOCKS;方块;Blocks;ブロック;블록;bloques;blocs;Blöcke;блоки;ब्लॉक्स;khối;บล็อก  
ITEMS;物品;Items;アイテム;아이템;objetos;objets;Gegenstände;предметы;आइटम;vật phẩm;ไอเทม  
CONNECTION_INTERRUPTED;连接中断;connection interrupted;接続中断;연결 끊김;conexión interrumpida;connexion interrompue;Verbindung unterbrochen;соединение прервано;कनेक्शन बाधित;kết nối bị gián đoạn;การเชื่อมต่อขาด  
DO_NOT_SHOW_AGAIN;不再显示;do not show again;再表示しない;다시 보지 않기;no mostrar de nuevo;ne plus afficher;nicht mehr anzeigen;больше не показывать;दोबारा न दिखाएं;không hiển thị lại;ไม่แสดงอีก  
OPEN_TO_LAN;对局域网开放;open to lan;LAN開放;LAN 오픈;abrir a LAN;ouvrir en LAN;für LAN öffnen;открыть для LAN;LAN के लिए खोलें;mở cho mạng LAN;เปิดให้ LAN  
BACK_TO_MENU;返回菜单;back to menu;メニューに戻る;메뉴로 돌아가기;volver al menú;retour au menu;zurück zum Menü;вернуться в меню;मेनू पर वापस जाएं;trở lại menu;กลับสู่เมนู  
CONTINUE_GAME;继续游戏;continue game;ゲーム続行;게임 계속하기;continuar juego;continuer le jeu;Spiel fortsetzen;продолжить игру;खेल जारी रखें;tiếp tục trò chơi;เล่นเกมต่อ  
YOU_DIED;你死了;you died;死亡;사망;has muerto;tu es mort;du bist gestorben;ты умер;तुम मर गए;bạn đã chết;คุณตายแล้ว  
RESPAWN;重生;respawn;リスポーン;리스폰;reaparecer;réapparaître;wiederbeleben;возродиться;पुनर्जन्म;hồi sinh;เกิดใหม่  
SETTINGS;设置;settings;設定;설정;opciones;options;Einstellungen;настройки;विकल्प;tùy chọn;ตัวเลือก  
DISCONNECT;断开连接;disconnect;切断;연결 끊기;desconectar;déconnecter;trennen;отключиться;डिस्कनेक्ट;ngắt kết nối;ตัดการเชื่อมต่อ  
SAVE_AND_QUIT;保存并退出;save and quit;保存して終了;저장 후 종료;guardar y salir;sauvegarder et quitter;speichern und beenden;сохранить и выйти;सहेजें और बाहर निकलें;lưu và thoát;บันทึกและออก  
PLAYER_NAME;玩家名;player name;プレイヤー名;플레이어 이름;nombre del jugador;nom du joueur;Spielername;имя игрока;खिलाड़ी का नाम;tên người chơi;ชื่อผู้เล่น  
RENDER_CHUNK;渲染距离;render distance;描画距離;렌더링 거리;distancia de renderizado;distance de rendu;Renderdistanze;дистанция рендеринга;प्रदर्शन दूरी;khoảng cách kết xuất;ระยะเรนเดอร์
FOV_ZOOM;视野缩放;zoom of viewing field;視野ズーム;시야 확대/축소;zoom de campo visual;zoom du champ de vision;Sichtfeld-Zoom;FOV;दृश्य क्षेत्र ज़ूम;phóng to tầm nhìn;ซูมมุมมอง  
BGM_VOLUME;背景音乐;bgm volume;BGM音量;BGM 볼륨;volumen de música;volume de la musique;Hintergrundmusik-Lautstärke;ромкость BGM;बीजीएम वॉल्यूम;âm lượng nhạc nền;ระดับเสียงเพลง  
SOUND_VOLUME;游戏音效;sound volume;効果音音量;효과음 볼륨;volumen de sonido;volume du son;Soundlautstärke;громкость звуков;ध्वनि वॉल्यूम;âm lượng hiệu ứng;ระดับเสียงเอฟเฟกต์  
TIP_0;按F键可以切换交互方块图层哦;Press the F key to switch between interactive block layers;Fキーでインタラクティブブロックのレイヤーを切り替えられます;F 키로 상호작용 블록 레이어 전환;Presiona F para cambiar entre capas de bloques interactivos;Appuyez sur F pour basculer entre les couches de blocs interactifs;Drücke F, um zwischen interaktiven Blockebenen zu wechseln;Нажмите F для переключения слоев интерактивных блоков;F दबाकर इंटरैक्टिव ब्लॉक परतों को बदलें;Nhấn F để chuyển đổi giữa các lớp khối tương tác;กด F เพื่อสลับเลเยอร์บล็อกแบบโต้ตอบ  
TIP_1;直接点击实体可以用手攻击，但有冷却时间;Click on entities to attack them with your hands, but there is a cooldown period;エンティティを直接クリックで手攻撃可能（クールダウンあり）;엔티티 클릭으로 손 공격 가능 (쿨타임 있음);Haz clic en entidades para atacarlas con tus manos, pero hay un tiempo de espera;Cliquez sur les entités pour les attaquer à mains nues, mais il y a un délai de récupération;Klicke auf Entitäten, um sie mit den Händen anzugreifen, aber es gibt eine Abklingzeit;Кликните по существам, чтобы атаковать их руками, но есть время перезарядки;इकाइयों पर हाथ से हमला करने के लिए क्लिक करें, लेकिन कोल्डाउन अवधि है;Nhấp vào thực thể để tấn công bằng tay, nhưng có thời gian hồi chiêu;คลิกที่สิ่งมีชีวิตเพื่อโจมตีด้วยมือ แต่มีเวลาคูลดาวน์  
SEED_TEXT;种子 (留空随机);seed (empty for random);シード (空白でランダム);시드 (공란 시 랜덤);semilla (vacío para aleatorio);graine (vide pour aléatoire);Seed (leer für zufällig);сид (пусто для случайного);बीज (यादृच्छिक के लिए खाली);hạt giống (để trống cho ngẫu nhiên);เมล็ดพันธุ์ (ว่างสำหรับสุ่ม)  
WORLD_TYPE;世界类型;world type;ワールドタイプ;월드 유형;tipo de mundo;type de monde;Welttyp;тип мира;दुनिया का प्रकार;loại thế giới;ประเภทโลก  
DEFAULT;默认;default;デフォルト;기본;predeterminado;par défaut;Standard;по умолчанию;डिफ़ॉल्ट;mặc định;ค่าเริ่มต้น  
FLAT;超平坦;flat;フラット;플랫;plano;plat;flach;плоский;सपाट;phẳng;แบน  
GAMEMODE;游戏模式;gamemode;ゲームモード;게임 모ード;modo de juego;mode de jeu;Spielmodus;игровой режим;गेम मोड;chế độ trò chơi;โหมดเกม  
SURVIVAL;生存;survival;サバイバル;생존;supervivencia;survie;Überleben;выживание;सर्वाइवल;sinh tồn;เอาชีวิตรอด  
CREATIVE;创造;creative;クリエイティブ;크리에이티브;creativo;créatif;Kreativ;творческий;क्रिएटिव;sáng tạo;สร้างสรรค์ 
BLOCK_SELECTION_BOX;选中框;selection box;選択枠;선택 상자;cuadro de selección;boîte de sélection;Auswahlrahmen;рамка выбора;चयन बॉक्स;khung chọn;กล่องเลือก
ALWAYS_SHOW;总是显示;always show;常に表示;항상 표시;mostrar siempre;toujours afficher;immer anzeigen;всегда показывать;हमेशा दिखाएं;luôn hiển thị;แสดงเสมอ
SHOW_WHEN_CHANGING;变动时显示;show when changing;変更時表示;변경 시 표시;mostrar al cambiar;afficher lors du changement;bei Änderung anzeigen;показывать при изменении;बदलते समय दिखाएं;hiển thị khi thay đổi;แสดงเมื่อมีการเปลี่ยนแปลง
NEVER_SHOW;从不显示;never show;表示しない;표시 안 함;nunca mostrar;ne jamais afficher;nie anzeigen;никогда не показывать;कभी न दिखाएं;không bao giờ hiển thị;ไม่แสดงเลย
WORLD_NAME;世界名;world name;ワールド名;월드 이름;nombre del mundo;nom du monde;Weltname;название мира;दुनिया का नाम;tên thế giới;ชื่อโลก
DEFAULT_WORLD_NAME;新的世界;new world;新しい世界;새로운 세계;mundo nuevo;nouveau monde;neue Welt;новый мир;नई दुनिया;thế giới mới;โลกใหม่
DEFAULT_SERVER_NAME;新的服务器;new server;新しいサーバー;새로운 서버;servidor nuevo;nouveau serveur;neuer Server;новый сервер;नया सर्वर;máy chủ mới;เซิร์ฟเวอร์ใหม่
SERVER_NAME;服务器名;server name;サーバー名;서버 이름;nombre del servidor;nom du serveur;Servername;название сервера;सर्वर का नाम;tên máy chủ;ชื่อเซิร์ฟเวอร์
SERVER_IP;服务器 ip;server ip;サーバーIP;서버 IP;IP del servidor;IP du serveur;Server-IP;IP сервера;सर्वर आईपी;IP máy chủ;ไอพีเซิร์ฟเวอร์
SERVER_PORT;服务器端口;server port;サーバーポート;서버 포트;puerto del servidor;port du serveur;Server-Port;порт сервера;सर्वर पोर्ट;cổng máy chủ;พอร์ตเซิร์ฟเวอร์
OPENING_PORT;正在开放端口...;opening port...;ポート開放中...;포트 개방 중...;abriendo puerto...;ouverture du port...;öffne Port...;открытие порта...;पोर्ट खोल रहा है...;đang mở cổng...;กำลังเปิดพอร์ต...
OPEN_SERVER_FAIL_1;服务器在 ip ;server opening failed on ;サーバーのIP ;서버 오픈 실패 IP ;fallo al abrir servidor en ;échec d'ouverture du serveur sur ;Server-Öffnung fehlgeschlagen auf ;ошибка открытия сервера на ;सर्वर खोलने में विफल ;máy chủ mở thất bại tại ;เปิดเซิร์ฟเวอร์ล้มเหลวที่ 
OPEN_SERVER_FAIL_2; 开放失败，请稍后重试; please try later; で開放失敗、後で再試行してください; 에서 실패, 나중에 다시 시도하십시오; , por favor intente más tarde; , veuillez réessayer plus tard; , bitte später versuchen; , попробуйте позже; , कृपया बाद में पुनः प्रयास करें; thất bại, vui lòng thử lại sau; เปิดไม่สำเร็จ โปรดลองใหม่ในภายหลัง
OPEN_SERVER_SUCCESS;服务器已开放在 ;server opened on ;サーバーが で開放されました;서버가 에서 열렸습니다;servidor abierto en ;serveur ouvert sur ;Server geöffnet auf ;сервер открыт на ;सर्वर पर खोला गया ;máy chủ đã mở tại ;เซิร์ฟเวอร์เปิดที่ 
JOINED_GAME; 加入了游戏; joined the game; がゲームに参加しました; 가 게임에 참여했습니다; se unió al juego; a rejoint le jeu; ist dem Spiel beigetreten; присоединился к игре; खेल में शामिल हो गया; đã tham gia trò chơi; เข้าร่วมเกม
LEFT_GAME; 退出了游戏; left the game; がゲームを退出しました; 가 게임에서 나갔습니다; salió del juego; a quitté le jeu; hat das Spiel verlassen; вышел из игры; खेल छोड़ दिया; đã rời khỏi trò chơi; ออกจากเกม
SERVER_CLOSED;服务器已关闭;Server closed;サーバーが閉じられました;서버가 닫혔습니다;Servidor cerrado;Serveur fermé;Server geschlossen;Сервер закрыт;सर्वर बंद;Máy chủ đã đóng;เซิร์ฟเวอร์ปิดแล้ว
CONNECTION_TIMEOUT;连接超时;Connection timeout;接続タイムアウト;연결 시간 초과;Tiempo de conexión agotado;Délai de connexion dépassé;Verbindungstimeout;Тайм-аут соединения;कनेक्शन समय समाप्त;Hết thời gian kết nối;การเชื่อมต่อหมดเวลา
SAME_PLAYER_NAME;相同名称的玩家已在线;Another player with your name is already online;同じ名前のプレイヤーが既にオンラインです;같은 이름의 플레이어가 이미 온라인 상태입니다;Ya hay otro jugador con tu nombre en línea;Un autre joueur avec votre nom est déjà en ligne;Ein anderer Spieler mit deinem Namen ist bereits online;Игрок с таким именем уже онлайн;आपके नाम वाला एक अन्य खिलाड़ी पहले से ही ऑनलाइन है;Đã có người chơi khác cùng tên trực tuyến;มีผู้เล่นชื่อเดียวกับคุณออนไลน์อยู่แล้ว
VERSION_CONFLICT;服务器版本与游戏版本冲突;Server version and game version conflict;サーバーバージョンとゲームバージョンが衝突しています;서버 버전과 게임 버전이 충돌합니다;Conflicto entre la versión del servidor y la del juego;Conflit entre la version du serveur et celle du jeu;Konflikt zwischen Server- und Spielversion;Конфликт версий сервера и игры;सर्वर संस्करण और गेम संस्करण संघर्ष;Xung đột phiên bản máy chủ và trò chơi;ความขัดแย้งระหว่างเวอร์ชันเซิร์ฟเวอร์และเกม
PLAYER_NAME_EXCEED;玩家名称长度超过限制;Player name length exceeds the limit;プレイヤー名の長さが制限を超えています;플레이어 이름 길이가 제한을 초과했습니다;La longitud del nombre del jugador excede el límite;La longueur du nom du joueur dépasse la limite;Spielername überschreitet Längenbegrenzung;Длина имени игрока превышает лимит;खिलाड़ी का नाम सीमा से अधिक है;Độ dài tên người chơi vượt quá giới hạn;ความยาวชื่อผู้เล่นเกินขีดจำกัด
PLAYER_NAME_SPACE;玩家名称包含空格;Player name contains spaces;プレイヤー名にスペースが含まれています;플레이어 이름에 공백이 포함되어 있습니다;El nombre del jugador contiene espacios;Le nom du joueur contient des espaces;Spielername enthält Leerzeichen;Имя игрока содержит пробелы;खिलाड़ी के नाम में रिक्त स्थान हैं;Tên người chơi chứa khoảng trắng;ชื่อผู้เล่นมีช่องว่าง
LOADING_SCENE;加载场景中;Loading scene;シーン読み込み中;씬 로드 중;Cargando escena;Chargement de la scène;Szene wird geladen;Загрузка сцены;दृश्य लोड हो रहा है;Đang tải cảnh;กำลังโหลดฉาก
LOADING_TERRAIN;加载地形中;Loading terrain;地形読み込み中;지형 로드 중;Cargando terreno;Chargement du terrain;Gelände wird geladen;Загрузка ландшафта;भूभाग लोड हो रहा है;Đang tải địa hình;กำลังโหลดภูมิประเทศ
CONNECTING_SERVER;连接服务器中;Connecting server;サーバー接続中;서버 연결 중;Conectando al servidor;Connexion au serveur;Verbinde mit Server;Подключение к серверу;सर्वर से कनेक्ट हो रहा है;Đang kết nối máy chủ;กำลังเชื่อมต่อเซิร์ฟเวอร์
CONNECTION_SUCCESS;连接成功，正在加入服务器;Connection success, joining server;接続成功、サーバーに参加中;연결 성공, 서버 참여 중;Conexión exitosa, uniéndose al servidor;Connexion réussie, rejoindre le serveur;Verbindung erfolgreich, betrete Server;Успешное подключение, присоединение к серверу;कनेक्शन सफल, सर्वर में शामिल हो रहा है;Kết nối thành công, đang tham gia máy chủ;เชื่อมต่อสำเร็จ กำลังเข้าร่วมเซิร์ฟเวอร์
CONNECTION_FAIL;连接失败;Connection failed;接続失敗;연결 실패;Conexión fallida;Échec de la connexion;Verbindungsfehler;Ошибка подключения;कनेक्शन विफल;Kết nối thất bại;การเชื่อมต่อล้มเหลว
COMPLETED;完成！;Completed!;完了！;완료！;¡Completado!;Terminé!;Abgeschlossen!;Завершено!;पूर्ण！;Hoàn tất!;เสร็จสิ้น！
SEARCHING;搜索中;searching;検索中;검색 중;Buscando;Recherche;Suche;Поиск;खोज रहा है;Đang tìm kiếm;กำลังค้นหา
CANNOT_CONNECT;无法连接;cannot connect;接続できません;연결할 수 없음;No se puede conectar;Impossible de se connecter;Kann nicht verbinden;Не удается подключиться;कनेक्ट नहीं कर सकते;Không thể kết nối;ไม่สามารถเชื่อมต่อ
SEARCHING_LAN;正在你的本地网络中寻找游戏;searching for servers on your local network;ローカルネットワークでゲームを検索中;로컬 네트워크에서 게임 검색 중;Buscando juegos en tu red local;Recherche de jeux sur votre réseau local;Suche nach Spielen im lokalen Netzwerk;Поиск игр в локальной сети;आपके स्थानीय नेटवर्क पर खेल खोज रहा है;Đang tìm trò chơi trên mạng cục bộ;กำลังค้นหาเกมในเครือข่ายท้องถิ่น
S_SERVER;的服务器;'s server;のサーバー;의 서버;servidor de;serveur de;Server von;сервер;का सर्वर;máy chủ của;เซิร์ฟเวอร์ของ
MODIFY;修改;modify;変更;수정;Modificar;Modifier;Ändern;Изменить;संशोधित करें;Sửa đổi;แก้ไข
CLOSE;关闭;close;閉じる;닫기;Cerrar;Fermer;Schließen;Закрыть;बंद करें;Đóng;ปิด
BACK;返回;back;戻る;돌아가기;Atrás;Retour;Zurück;Назад;वापस;Quay lại;กลับ
CANCEL;取消;cancel;キャンセル;취소;Cancelar;Annuler;Abbrechen;Отмена;रद्द करें;Hủy;ยกเลิก
SAVE;保存;save;保存;저장;Guardar;Sauvegarder;Speichern;Сохранить;सहेजें;Lưu;บันทึก
WARNING;警告;Warning;警告;경고;Advertencia;Avertissement;Warnung;Предупреждение;चेतावनी;Cảnh báo;คำเตือน
WARNING_1;您输入的世界名已存在，请更换后再试;The world name you entered is existed, please try another one;入力したワールド名は既に存在します、別の名前をお試しください;입력한 월드 이름이 이미 존재합니다, 다른 이름을 사용해 주세요;El nombre del mundo que ingresaste ya existe, prueba con otro;Le nom du monde que vous avez entré existe déjà, veuillez en essayer un autre;Der eingegebene Weltname existiert bereits, bitte versuchen Sie einen anderen;Введенное вами название мира уже существует, попробуйте другое;आपके द्वारा दर्ज किया गया विश्व नाम पहले से मौजूद है, कृपया कोई अन्य प्रयास करें;Tên thế giới bạn nhập đã tồn tại, vui lòng thử tên khác;ชื่อโลกที่คุณป้อนมีอยู่แล้ว โปรดลองชื่ออื่น
WARNING_2;玩家名不可为空，请输入后再试;Player name can not be empty, please enter one;プレイヤー名は空にできません、入力してください;플레이어 이름은 비울 수 없습니다, 입력해 주세요;El nombre del jugador no puede estar vacío, ingresa uno;Le nom du joueur ne peut pas être vide, veuillez en entrer un;Der Spielername darf nicht leer sein, bitte geben Sie einen ein;Имя игрока не может быть пустым, введите его;खिलाड़ी का नाम खाली नहीं हो सकता, कृपया एक दर्ज करें;Tên người chơi không được để trống, vui lòng nhập tên;ชื่อผู้เล่นไม่สามารถเว้นว่างได้ โปรดป้อนชื่อ
WARNING_3;世界名不可为空，请输入后再试;World name can not be empty, please enter one;ワールド名は空にできません、入力してください;월드 이름은 비울 수 없습니다, 입력해 주세요;El nombre del mundo no puede estar vacío, ingresa uno;Le nom du monde ne peut pas être vide, veuillez en entrer un;Der Weltname darf nicht leer sein, bitte geben Sie einen ein;Название мира не может быть пустым, введите его;विश्व का नाम खाली नहीं हो सकता, कृपया एक दर्ज करें;Tên thế giới không được để trống, vui lòng nhập tên;ชื่อโลกไม่สามารถเว้นว่างได้ โปรดป้อนชื่อ
WARNING_4;服务器名不可为空，请输入后再试;Server name can not be empty, please enter one;サーバー名は空にできません、入力してください;서버 이름은 비울 수 없습니다, 입력해 주세요;El nombre del servidor no puede estar vacío, ingresa uno;Le nom du serveur ne peut pas être vide, veuillez en entrer un;Der Servername darf nicht leer sein, bitte geben Sie einen ein;Название сервера не может быть пустым, введите его;सर्वर का नाम खाली नहीं हो सकता, कृपया एक दर्ज करें;Tên máy chủ không được để trống, vui lòng nhập tên;ชื่อเซิร์ฟเวอร์ไม่สามารถเว้นว่างได้ โปรดป้อนชื่อ
WARNING_5;您输入的服务器名已存在，请更换后再试;The server name you entered is existed, please try another one;入力したサーバー名は既に存在します、別の名前をお試しください;입력한 서버 이름이 이미 존재합니다, 다른 이름을 사용해 주세요;El nombre del servidor que ingresaste ya existe, prueba con otro;Le nom du serveur que vous avez entré existe déjà, veuillez en essayer un autre;Der eingegebene Servername existiert bereits, bitte versuchen Sie einen anderen;Введенное вами название сервера уже существует, попробуйте другое;आपके द्वारा दर्ज किया गया सर्वर नाम पहले से मौजूद है, कृपया कोई अन्य प्रयास करें;Tên máy chủ bạn nhập đã tồn tại, vui lòng thử tên khác;ชื่อเซิร์ฟเวอร์ที่คุณป้อนมีอยู่แล้ว โปรดลองชื่ออื่น
WARNING_6;服务器 ip不可为空，请输入后再试;Server ip can not be empty, please enter one;サーバーIPは空にできません、入力してください;서버 IP는 비울 수 없습니다, 입력해 주세요;La IP del servidor no puede estar vacía, ingresa una;L'IP du serveur ne peut pas être vide, veuillez en entrer une;Die Server-IP darf nicht leer sein, bitte geben Sie eine ein;IP сервера не может быть пустым, введите его;सर्वर आईपी खाली नहीं हो सकता, कृपया एक दर्ज करें;IP máy chủ không được để trống, vui lòng nhập IP;ไอพีเซิร์ฟเวอร์ไม่สามารถเว้นว่างได้ โปรดป้อนไอพี
WARNING_7;服务器端口不可为空，请输入后再试;Server port can not be empty, please enter one;サーバーポートは空にできません、入力してください;서버 포트는 비울 수 없습니다, 입력해 주세요;El puerto del servidor no puede estar vacío, ingresa uno;Le port du serveur ne peut pas être vide, veuillez en entrer un;Der Server-Port darf nicht leer sein, bitte geben Sie einen ein;Порт сервера не может быть пустым, введите его;सर्वर पोर्ट खाली नहीं हो सकता, कृपया एक दर्ज करें;Cổng máy chủ không được để trống, vui lòng nhập cổng;พอร์ตเซิร์ฟเวอร์ไม่สามารถเว้นว่างได้ โปรดป้อนพอร์ต
WARNING_8;该世界版本高于您使用的版本，请换更换世界进行游戏;This world version is higher than the version you are using, please change the world to play the game.;このワールドのバージョンが使用中のバージョンより高いです、別のワールドに変更してください;이 월드 버전이 현재 사용 중인 버전보다 높습니다, 다른 월드로 변경해 주세요;La versión de este mundo es superior a la que estás usando, cambia de mundo para jugar;La version de ce monde est supérieure à celle que vous utilisez, veuillez changer de monde pour jouer;Diese Weltversion ist höher als die von Ihnen verwendete Version, bitte wechseln Sie die Welt, um zu spielen;Версия этого мира выше используемой вами, смените мир для игры;इस दुनिया का संस्करण आपके द्वारा उपयोग किए जा रहे संस्करण से अधिक है, कृпया खेलने के लिए दुनिया बदलें;Phiên bản thế giới này cao hơn phiên bản bạn đang sử dụng, vui lòng đổi thế giới để chơi;เวอร์ชันโลกนี้สูงกว่าที่คุณใช้อยู่ โปรดเปลี่ยนโลกเพื่อเล่นเกม
WARNING_9;玩家名最大长度为16，请检查后再试;Maximum length of player name is 16, please check and try again;プレイヤー名の最大長は16です、確認して再試行してください;플레이어 이름 최대 길이는 16자 입니다, 확인 후 다시 시도해 주세요;La longitud máxima del nombre del jugador es 16, verifica e inténtalo de nuevo;La longueur maximale du nom du joueur est de 16, veuillez vérifier et réessayer;Die maximale Länge des Spielernamens beträgt 16, bitte überprüfen und erneut versuchen;Максимальная длина имени игрока - 16, проверьте и повторите;खिलाड़ी नाम की अधिकतम लंबाई 16 है, कृपया जांचें और पुनः प्रयास करें;Tên người chơi tối đa 16 ký tự, vui lòng kiểm tra và thử lại;ความยาวสูงสุดของชื่อผู้เล่นคือ 16 โปรดตรวจสอบและลองอีกครั้ง
WARNING_10;玩家名不可包含空格，请检查后再试;Player names must not contain spaces, please check and try again;プレイヤー名にスペースを含めることはできません、確認して再試行してください;플레이어 이름에는 공백을 포함할 수 없습니다, 확인 후 다시 시도해 주세요;Los nombres de jugador no deben contener espacios, verifica e inténtalo de nuevo;Les noms des joueurs ne doivent pas contenir d'espaces, veuillez vérifier et réessayer;Spielernamen dürfen keine Leerzeichen enthalten, bitte überprüfen und erneut versuchen;Имена игроков не должны содержать пробелов, проверьте и повторите;खिलाड़ी के नाम में रिक्त स्थान नहीं होने चाहिए, कृपया जांचें और पुनः प्रयास करें;Tên người chơi không được chứa khoảng trắng, vui lòng kiểm tra và thử lại;ชื่อผู้เล่นต้องไม่มีช่องว่าง โปรดตรวจสอบและลองอีกครั้ง
ERROR;错误;Error;エラー;오류;Error;Erreur;Fehler;Ошибка;त्रुटि;Lỗi;ข้อผิดพลาด
SECONDARY_CONFIRMATION;二次确认;Secondary Confirmation;二次確認;2차 확인;Confirmación secundaria;Confirmation secondaire;Zweite Bestätigung;Вторичное подтверждение;द्वितीय पुष्टिकरण;Xác nhận thứ cấp;การยืนยันครั้งที่สอง
SECONDARY_CONFIRMATION_1; 将会被移动到回收站，是否确认删除？; will be moved to trash bin, do you confirm?; はゴミ箱に移動されます、削除しますか？; 가 휴지통으로 이동됩니다, 삭제하시겠습니까？; será movido a la papelera, ¿confirmas?; sera déplacé vers la corbeille, confirmez-vous ?; wird in den Papierkorb verschoben, bestätigen Sie?; будет перемещено в корзину, подтверждаете удаление?; कचरा डिब्बे में ले जाया जाएगा, क्या आप पुष्टि करते हैं?; sẽ được chuyển vào thùng rác, bạn có xác nhận xóa không?; จะถูกย้ายไปถังขยะ ยืนยันการลบหรือไม่?
